time	V(-y)	V(x)	V(z)
7.655987249589050e-07	0.000000e+00	2.627757e-17	1.562392e-18
7.655987325882995e-07	8.881784e-17	2.657203e-17	1.562392e-18
7.655987344956482e-07	1.850372e-16	3.251345e-17	1.562392e-18
7.655987383103455e-07	2.960595e-16	3.970288e-17	1.562392e-18
7.655987459397400e-07	1.480297e-16	2.210535e-17	1.562392e-18
7.655987611985290e-07	3.700744e-17	-1.339769e-17	1.562392e-18
7.655987917161072e-07	1.110223e-16	-2.099286e-17	1.562392e-18
7.655988527512634e-07	3.700744e-17	5.678636e-18	1.562392e-18
7.655989748215759e-07	-1.110223e-16	3.858788e-17	1.562392e-18
7.655990053391540e-07	-1.110223e-16	3.232256e-17	1.562392e-18
7.655990663743102e-07	-1.480297e-16	2.730526e-17	1.562392e-18
7.655991884446228e-07	4.440892e-17	5.431285e-17	1.562392e-18
7.655992189622009e-07	1.110223e-16	4.979475e-17	1.562392e-18
7.655992799973571e-07	-6.661338e-17	8.887903e-18	1.562392e-18
7.655992952561462e-07	-7.401487e-17	-1.036238e-17	1.562392e-18
7.655993257737243e-07	3.700744e-17	-1.964817e-17	1.562392e-18
7.655993868088805e-07	1.110223e-16	1.026118e-17	1.562392e-18
7.655995088791930e-07	1.480297e-16	9.929407e-19	1.562392e-18
7.655997530198180e-07	2.220446e-16	-1.035006e-17	1.562392e-18
7.655997539734923e-07	1.480297e-16	-9.879951e-18	1.562392e-18
7.655997558808410e-07	0.000000e+00	-4.790738e-17	1.562392e-18
7.655997563576782e-07	-3.700744e-17	-5.714626e-17	1.562392e-18
7.655997573113525e-07	-1.110223e-16	-3.721975e-17	1.562392e-18
7.655997592187012e-07	-1.110223e-16	-4.207174e-17	1.562392e-18
7.655997596955384e-07	-1.110223e-16	-7.084110e-17	1.562392e-18
7.655997606492126e-07	-7.401486e-17	-8.617482e-17	1.562392e-18
7.655997625565613e-07	0.000000e+00	-3.853458e-17	1.562392e-18
7.655997630333985e-07	3.700744e-17	-5.336907e-17	1.562392e-18
7.655997639870728e-07	1.110223e-16	-6.695554e-17	1.562392e-18
7.655997658944215e-07	2.220446e-17	-2.280963e-17	1.562392e-18
7.655997663712587e-07	0.000000e+00	-3.589689e-17	1.562392e-18
7.655997673249330e-07	0.000000e+00	-4.773614e-17	1.562392e-18
7.655997692322817e-07	0.000000e+00	-7.084660e-18	1.562392e-18
7.655997697091189e-07	3.700744e-17	-1.842471e-17	1.562392e-18
7.655997706627932e-07	1.110223e-16	-2.851674e-17	1.562392e-18
7.655997725701418e-07	1.110223e-16	8.640302e-18	1.562392e-18
7.655997730469790e-07	1.110223e-16	-9.525183e-19	1.562392e-18
7.655997740006533e-07	7.401486e-17	-9.297318e-18	1.562392e-18
7.655997759080020e-07	0.000000e+00	1.731859e-17	1.562392e-18
7.655997797226993e-07	0.000000e+00	1.964586e-17	1.562392e-18
7.655997798419086e-07	0.000000e+00	3.620305e-17	1.562392e-18
7.655997800803272e-07	0.000000e+00	6.503856e-17	1.562392e-18
7.655997805571644e-07	-3.700744e-17	4.953596e-17	1.562392e-18
7.655997815108387e-07	-1.480297e-16	2.063020e-17	1.562392e-18
7.655997834181873e-07	-1.480297e-16	-1.413535e-17	1.562392e-18
7.655997872328846e-07	3.700743e-17	-2.136170e-17	1.562392e-18
7.655997948622791e-07	3.700743e-17	-4.662129e-18	1.562392e-18
7.655998101210682e-07	-1.110223e-16	1.384401e-17	1.562392e-18
7.655998406386463e-07	-3.700744e-17	3.325343e-17	1.562392e-18
7.655999016738025e-07	7.401487e-17	1.248907e-17	1.562392e-18
7.656000237441151e-07	3.700744e-17	-8.049478e-18	1.562392e-18
7.656002678847400e-07	1.998401e-16	5.975744e-18	1.562392e-18
7.656003289198963e-07	1.480297e-16	9.628671e-18	1.562392e-18
7.656004509902088e-07	-3.700744e-17	1.452961e-17	1.562392e-18
7.656006951308338e-07	-1.110223e-16	4.941749e-18	1.562392e-18
7.656011834120837e-07	-1.110223e-16	-1.182314e-17	1.562392e-18
7.656021599745837e-07	-1.110223e-16	-1.004922e-17	1.562392e-18
7.656041130995838e-07	-7.401487e-17	-3.963134e-17	1.562392e-18
7.656080193495837e-07	0.000000e+00	-3.410968e-17	1.562392e-18
7.656158318495837e-07	2.211806e-16	3.466511e-17	1.562392e-18
7.656158623671619e-07	1.850372e-16	1.145010e-17	1.562392e-18
7.656159234023181e-07	3.700744e-17	-4.048056e-17	1.562392e-18
7.656160454726306e-07	6.661338e-17	-4.546694e-17	1.562392e-18
7.656160759902087e-07	2.220446e-17	7.045474e-18	1.562392e-18
7.656160836196033e-07	-7.401487e-17	3.307089e-17	1.562392e-18
7.656160988783923e-07	-1.850372e-16	4.624203e-17	1.562392e-18
7.656161293959704e-07	-7.401487e-17	8.097736e-18	1.562392e-18
7.656161904311266e-07	0.000000e+00	-2.040151e-17	1.562392e-18
7.656163125014392e-07	0.000000e+00	-6.280704e-17	1.562392e-18
7.656163163161364e-07	0.000000e+00	-6.476497e-17	1.562392e-18
